X,Y,OBJECTID,Name,Address,Description,Easting,Northing,last_edited_date
173.963930778205196,-41.512766213206433,19939,Gourmet 5081 Limited,28 Park Terrace Blenheim .,Food Control Plan,1680437,5403870,2017-07-17T00:37:30.000Z
173.957234570907389,-41.512128585227124,19940,Sagai,35 High Street Blenheim .,Food Control Plan,1679879,5403947,2017-07-17T00:37:30.000Z
173.961845296403311,-41.460910535751914,19941,The Junction Hotel,2234 SH 1 Spring Creek .,Food Control Plan,1680327,5409629,2017-07-17T00:37:30.000Z
174.007962161268267,-41.289292623307198,19942,Oxley's Bar & Kitchen,London Quay Picton .,Food Control Plan,1684400,5428638,2017-07-17T00:37:30.000Z
173.821121322151953,-41.498435992679035,19943,Forrest Estate Winery Limited,19 Blicks Road Renwick .,Food Control Plan,1668535,5405584,2017-07-17T00:37:30.000Z
173.918074694429151,-41.530921799674395,19944,Wither Hills,211 New Renwick Road Omaka .,Food Control Plan,1676589,5401896,2017-07-17T00:37:30.000Z
174.007231025420054,-41.29222649331529,19945,Red Salt Cafe,100 High Street Picton .,Food Control Plan,1684335,5428313,2017-07-17T00:37:30.000Z
173.53268730634494,-41.56376153819393,19946,Wairau Valley Tavern,2692 SH 63 Wairau Valley .,Food Control Plan,1644416,5398520,2017-07-17T00:37:30.000Z
173.954722452748626,-41.514059011175632,19947,Raizada Indian Restaurant,57 Seymour Street Blenheim .,Food Control Plan,1679667,5403735,2017-07-17T00:37:30.000Z
173.99949138365929,-41.295320510373607,19948,The Quest Catering Company,22 Durham Street Picton .,Food Control Plan,1683683,5427977,2017-07-17T00:37:30.000Z
173.843459665090904,-41.515505345538749,19949,Arbour,36 Godfrey Road Hawkesbury .,Food Control Plan,1670381,5403671,2017-07-17T00:37:30.000Z
173.571123184080335,-41.205426725603381,19950,Foresters,7090 SH 6 Rai .,Food Control Plan,1647883,5438281,2017-07-17T00:37:30.000Z
174.006999596656271,-41.291156613872836,19951,Plaza India Bistro & Tandoor,70 High Street Picton .,Food Control Plan,1684317,5428432,2017-07-17T00:37:30.000Z
173.761579732971967,-41.524318430220895,19952,Clos Henri Vineyard,639 SH 63 Wairau Valley .,Food Control Plan,1663540,5402756,2017-07-17T00:37:30.000Z
173.839903177985235,-41.483267100148318,19953,D'Vine,197 Rapaura Road Rapaura .,Food Control Plan,1670119,5407253,2017-07-17T00:37:30.000Z
173.995621883621567,-41.22931897882679,19954,Lochmara Lodge,Lochmara Bay Queen Charlotte Sound / Totaranui .,Food Control Plan,1683443,5435308,2017-07-17T00:37:30.000Z
173.955190884096396,-41.530430329403096,19955,Yum Pizza & Restaurant,81 Cleghorn Street Blenheim .,Food Control Plan,1679686,5401917,2017-07-17T00:37:30.000Z
174.005936271545011,-41.291129880793925,19956,Thai Panda Limited,58 Auckland Street Picton .,Food Control Plan,1684228,5428436,2017-07-17T00:37:30.000Z
173.957241338085311,-41.512587900158714,19957,CPR Coffee 2015 Company Limited,18 Wynen Street Blenheim .,Food Control Plan,1679879,5403896,2017-07-17T00:37:30.000Z
173.955872830761905,-41.514869117239556,19958,Village India Restaurant,17 B Maxwell Road Blenheim .,Food Control Plan,1679762,5403644,2017-07-17T00:37:30.000Z
173.938467508951561,-41.185778125099986,19959,Raetihi Holdings Limited,7124 Kenepuru Road Kenepuru Sound .,Food Control Plan,1678705,5440195,2017-07-17T00:37:30.000Z
173.826717281574588,-41.505097361373394,19960,Giesen Sports & Events Centre,10 Uxbridge Street Renwick .,Food Control Plan,1668995,5404840,2017-07-17T00:37:30.000Z
